whs_13,whs_01,whs_12,item_code,cscg_status,whs_11,whs_10,quantity_wms,quantity_erp,warehouse_code,snap_date,item_name,variance,whs_09,whs_08,id,whs_15,whs_03,uom_code,metadata_fecha_consulta
0,0.0,0.0,10001462,Ok,0,0,12.0,12.0,1145,2025-09-05,SIFON EN P LAVAPLATOS  GRIS 935080001,0.0,0.0,0,1405063,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10030197,Ok,0,0,11.0,11.0,1145,2025-09-05,CJ GF LVP SENC NOGAL LT REF 455930001,0.0,0.0,0,1405178,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10005359,Ok,0,0,2.0,2.0,1145,2025-09-05,SIKA TECHO E   DE   18 KG,0.0,0.0,0,1405637,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10032954,Ok,0,0,19.0,19.0,1145,2025-09-05,RIEL SPAR OCULTO EXT. TOTAL 3D SLOW MOTION  SINCRONIZADO  45 KG 35 CM RBM/35,0.0,0.0,0,1404950,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10011606,Ok,0,0,1414.0,1414.0,1145,2025-09-05,CODO SANITARIO 90 CXC 2'' REF 2901213,0.0,0.0,0,1404951,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10007159,Ok,0,0,58.0,58.0,1145,2025-09-05,PRIMER ANTICORROSIVO VERDE OLIVA 513 GALON,0.0,0.0,0,1404952,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10031761,Ok,0,0,93.0,93.0,1145,2025-09-05,TUBO RECTANGULAR 3''X 1 1/2'' Cal 18 (1.10),0.0,0.0,0,1404953,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10033923,Ok,0,0,144.0,144.0,1145,2025-09-05,VINILTEX BLANCO 1501 PRECIO ESPECIAL GALON,0.0,0.0,0,1404954,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10019020,Ok,0,0,58.0,58.0,1145,2025-09-05,CANTO PVC INTRAPLAS COCUY PRIM 22X0.45 MM 240mxRollo (UE 2160),0.0,0.0,0,1404955,0,0.0,Metro,2025-09-06 01:42:11
0,0.0,0.0,10003799,Ok,0,0,8.0,8.0,1290,2025-09-05,CANTO PVC INTRAPLAS CAPUCCINO 19X1.5 MM 100mxRollo,0.0,0.0,0,1404956,0,0.0,Metro,2025-09-06 01:42:11
0,0.0,0.0,10023141,Ok,0,0,129.0,129.0,1145,2025-09-05,CANTO PVC INTRAPLAS TAUSA MATE PRIM 44X1 MM 120mxRollo,0.0,0.0,0,1404957,0,0.0,Metro,2025-09-06 01:42:11
0,0.0,0.0,10009196,Ok,0,0,8.0,8.0,1145,2025-09-05,LAMINADO F8 BEIGE ROSADO                       LHU156,0.0,0.0,0,1404958,0,0.0,Lámina,2025-09-06 01:42:11
0,0.0,0.0,10004169,Ok,0,0,1.0,1.0,1145,2025-09-05,ETERNA A-55 CUNETE DE 4.5 GLS REF 460104025,0.0,0.0,0,1404959,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10007178,Ok,0,0,23.0,23.0,1145,2025-09-05,KIT PINTURA EPOXI POLIAMIDA BLANCA 113243101 Y CAT 213229104,0.0,0.0,0,1404960,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10026564,Ok,0,0,90.0,90.0,1145,2025-09-05,SILLAR PC8025 IMPORTADO ABM REF CIA-C150L,0.0,0.0,0,1404961,0,0.0,m,2025-09-06 01:42:11
0,0.0,0.0,10006522,Ok,0,0,20.0,20.0,1145,2025-09-05,VINILTEX BASE DEEP BLANCO 117176 GALON,0.0,0.0,0,1404962,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10025869,Ok,0,0,7.0,7.0,1145,2025-09-05,OSB LP INDUPLAC DE 1220X2440X25MM,0.0,0.0,0,1404963,0,0.0,Lámina,2025-09-06 01:42:11
0,0.0,0.0,10028147,Ok,0,0,188.0,188.0,1145,2025-09-05,CANTO PVC INTRAPLAS OLIVO TEX SOFT 40X1 MM 120mxRollo,0.0,0.0,0,1404964,0,0.0,Metro,2025-09-06 01:42:11
0,0.0,0.0,10011505,Ok,0,0,50.0,50.0,1145,2025-09-05,BUJE SOLDADO PRESION DE 3X2       REF 2900979,0.0,0.0,0,1404965,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10015044,Ok,0,0,39.0,39.0,1145,2025-09-05,CANTO PVC INTRAPLAS CHANTILLI 35X0.45 MM 240mxRollo,0.0,0.0,0,1404966,0,0.0,Metro,2025-09-06 01:42:11
0,0.0,0.0,10012212,Ok,0,0,1.0,1.0,1145,2025-09-05,LAVAMANOS DE COLGAR MILANO BLANCO O14111001,0.0,0.0,0,1404967,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10031845,Ok,0,0,2.0,2.0,1145,2025-09-05,MELAMINICO UNICOR MDF PERLA TEX SOFT  183X244X5.5  1C/ SIN BACKER,0.0,0.0,0,1404968,0,0.0,Lámina,2025-09-06 01:42:11
0,0.0,0.0,10021489,Ok,0,0,165.0,165.0,1145,2025-09-05,CANTO PVC INTRAPLAS COCUY PRIM 44X0.45 MM 240mxRollo(UE 960),0.0,0.0,0,1404969,0,0.0,Metro,2025-09-06 01:42:11
0,0.0,0.0,10003556,Ok,0,0,50.0,50.0,1145,2025-09-05,CANTO PVC LAMITECH BICOLOR ANTRACITA  1X23 MM (U.E 100 m) 100mxRollo,0.0,0.0,0,1404970,0,0.0,Metro,2025-09-06 01:42:11
0,0.0,0.0,10012767,Ok,0,0,39.0,39.0,1145,2025-09-05,CANTO PVC REHAU BLANCO  22X2 MM (U.E 150 m) 150mxRollo,0.0,0.0,0,1404971,0,0.0,Metro,2025-09-06 01:42:11
0,0.0,0.0,10000139,Ok,0,0,79.0,79.0,1145,2025-09-05,ARGOLLA REDONDA 3/4 DORADA,0.0,0.0,0,1404972,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10011503,Ok,0,0,100.0,100.0,1145,2025-09-05,BUJE SOLDADO PRESION DE 2.1/2X2   REF 2900971,0.0,0.0,0,1404973,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10009516,Ok,0,0,3.0,3.0,1145,2025-09-05,MANIJA EXTENDER SERIE 725   320 MMRef: SPAR725A,0.0,0.0,0,1404974,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10026476,Ok,0,0,3.0,3.0,1145,2025-09-05,MESON FLUENS 150X52 LISO IZQUIERDO MONOCONTROL Ref: 240052,0.0,0.0,0,1404975,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10018947,Ok,0,0,293.0,293.0,1145,2025-09-05,MANIJA DOBLE 128MM 7252-128,0.0,0.0,0,1404976,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10003910,Ok,0,0,520.0,520.0,1290,2025-09-05,CANTO PVC INTRAPLAS WENGUE 19X0.45MM 240mxRollo,0.0,0.0,0,1404977,0,0.0,Metro,2025-09-06 01:42:11
0,0.0,0.0,10024142,Ok,0,0,211.0,211.0,1145,2025-09-05,PATA CILINDRICA METALICA CON NIVELADOR 10,0.0,0.0,0,1404978,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10031785,Ok,0,0,300.0,300.0,1145,2025-09-05,CANTO FLEXIBLE CHANTILLI DURATEX 22X0.40 MM 300mxRollo,0.0,0.0,0,1404979,0,0.0,Metro,2025-09-06 01:42:11
0,0.0,0.0,10003851,Ok,0,0,92.0,92.0,1145,2025-09-05,CANTO PVC INTRAPLAS NEGRO 29X1.5 MM 100mxRollo,0.0,0.0,0,1404980,0,0.0,Metro,2025-09-06 01:42:11
0,0.0,0.0,10020042,Ok,0,0,2.0,2.0,1145,2025-09-05,BISTURI ALUMINIO RETRACTIL CON GUIA 18mm,0.0,0.0,0,1404981,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10003950,Ok,0,0,8.0,8.0,1145,2025-09-05,ESCUADRA PARA MUEBLES 24 X 90 MM     ES-125,0.0,0.0,0,1404982,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10003552,Ok,0,0,23.0,23.0,1145,2025-09-05,FL-50 PRO  EMULSION ASFALTICA CUÑETE 5 GAL,0.0,0.0,0,1404983,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10003900,Ok,0,0,454.0,454.0,1290,2025-09-05,CANTO PVC INTRAPLAS VIENES 22X1.5 MM 100mxRollo,0.0,0.0,0,1404984,0,0.0,Metro,2025-09-06 01:42:11
0,0.0,0.0,10005273,Ok,0,0,13.0,13.0,1145,2025-09-05,SIKADUR PANEL DE  1  KG,0.0,0.0,0,1404985,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10003620,Ok,0,0,56.0,56.0,1145,2025-09-05,CANTO PVC CUBRECOL ROBLE BLANCO  19X1.5 MM (U.E 77 m) 77mxRollo,0.0,0.0,0,1404986,0,0.0,Metro,2025-09-06 01:42:11
0,0.0,0.0,10025829,Ok,0,0,8.0,8.0,1145,2025-09-05,ESTUCO PARA EXTERIORES SUPERMASTICK CUÑETE X 28 KILOS,0.0,0.0,0,1404987,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10014482,Ok,0,0,1.0,1.0,1145,2025-09-05,ENTREPAÑO DECORATIVO TURIN DE 2 NIVELES NEGRO SPAR 330MMx220MM,0.0,0.0,0,1406856,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10032148,Ok,0,0,602.0,602.0,1145,2025-09-05,CANTO PVC REHAU SAGANO DX 22X0.40 MM (U.E 300 m) 300mxRollo,0.0,0.0,0,1406857,0,0.0,Metro,2025-09-06 01:42:11
0,0.0,0.0,10033672,Ok,0,0,14.0,14.0,1145,2025-09-05,MELAMINICO  UNICOR MDF RH NUVOLA TEX MATE  183X244X5.5 1C/SIN BACKER,0.0,0.0,0,1406858,0,0.0,Lámina,2025-09-06 01:42:11
0,0.0,0.0,10033841,Ok,0,0,4.0,4.0,1145,2025-09-05,SUBCJ GF LVP GRETA MONOC DORADO PM4185551,0.0,0.0,0,1406859,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10009949,Ok,0,0,15.0,15.0,1145,2025-09-05,FORMICA  LAMITECH  F8    AMARILLO  2163 TEXTURA POSTFORMABLE  122X244,0.0,0.0,0,1406860,0,0.0,Lámina,2025-09-06 01:42:11
0,0.0,0.0,10030989,Ok,0,0,430.0,430.0,1145,2025-09-05,BROCHA SPAR 3'',0.0,0.0,0,1406861,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10004389,Ok,0,0,104.0,104.0,1290,2025-09-05,CANTO PVC REHAU AWORA SOTWOOD  22X0.45 MM (U.E 300 m) 300mxRollo,0.0,0.0,0,1406862,0,0.0,Metro,2025-09-06 01:42:11
0,0.0,0.0,10011456,Ok,0,0,801.0,801.0,1145,2025-09-05,BUJE SOLDADO PRESION DE   1X3/4   REF 2900858,0.0,0.0,0,1406863,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10021533,Ok,0,0,831.0,831.0,1145,2025-09-05,CANTO PVC IMPORTADO SODER FREZE  22X1.70 (100mxRollo),0.0,0.0,0,1406864,0,0.0,Metro,2025-09-06 01:42:11
0,0.0,0.0,10029402,Ok,0,0,347.5,347.5,1145,2025-09-05,MELAMINICO  SUPERCOR  PB  RH  SODER    TEX FORETS  183X244X15,0.0,0.0,0,1406865,0,0.0,Lámina,2025-09-06 01:42:11
0,0.0,0.0,10024339,Ok,0,0,350.0,350.0,1145,2025-09-05,CANTO PVC INTRAPLAS LENNO 22X1.5 MM 100mxRollo,0.0,0.0,0,1406866,0,0.0,Metro,2025-09-06 01:42:11
0,0.0,0.0,10011188,Ok,0,0,22.0,22.0,1145,2025-09-05,CURVA CONDUIT 90 CXE 3/4'' REF 2902713,0.0,0.0,0,1406867,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10009601,Ok,0,0,1.0,1.0,1145,2025-09-05,MANIJA FIT LINE ALUMINIUM 128 MM Ref: SPAR3301,0.0,0.0,0,1406868,0,0.0,Und,2025-09-06 01:42:11
0,0.0,0.0,10007166,Ok,0,0,28.0,28.0,1145,2025-09-05,CATALIZADOR PINTUCOAT PLUS GALON,0.0,0.0,0,1406869,0,0.0,Und,2025-09-06 01:42:11
