cdct_name,cidl_primary_qty_received,cidv_address,cidv_organization_id,cidv_primary_qty,cdcs_name,cdoc_created_by,cdoc_notes,basedoctype_number,cidv_document1,cdoc_date,cdoc_created_on,cidv_subtotal,ccit_name,cidv_taxes,cidv_id,csup_name1,cidv_lines,cidv_document_id,cdoc_number,csup_code1,cwhs_code,cidv_total,basedoctype_name,cidv_shipment_id,cidv_document2,metadata_fecha_consulta
Orden de Compra,0,CR 17 AUT PALENQUE CHIMITA # 58-60 CENTRO LOGISTICO METROPOLITANO BOD 8 GIRON,98,5760,Pendiente,system,,,,2025-09-05,2025-09-05T15:24:06.636133,1837440.0,BUCARAMANGA,349113.6,20027,INTRAPLAS SAS,1,515410,75163,P-860510099,1145,2186553.6,,,,2025-09-05 15:39:11
Orden de Compra,0,CR 17 AUT PALENQUE CHIMITA # 58-60 CENTRO LOGISTICO METROPOLITANO BOD 8 GIRON,98,6305,Pendiente,system,,,,2025-09-05,2025-09-05T15:24:01.820281,20877127.82,BUCARAMANGA,3966654.2857999997,20026,MEXICHEM COLOMBIA S.A.S,43,515409,75162,P-860005050,1145,24843782.105800003,,,,2025-09-05 15:39:11
Orden de Compra,0,CR 17 AUT PALENQUE CHIMITA # 58-60 CENTRO LOGISTICO METROPOLITANO BOD 8 GIRON,98,6546,Pendiente,system,,,,2025-09-05,2025-09-05T15:24:01.17948,12318214.440000001,BUCARAMANGA,2340460.7436,20025,ALUMINIO NACIONAL S A EN REORGANIZACION,2,515408,75160,P-890300213,1145,14658675.183600001,,,,2025-09-05 15:39:11
Orden de Compra,0,CR 17 AUT PALENQUE CHIMITA # 58-60 CENTRO LOGISTICO METROPOLITANO BOD 8 GIRON,98,50,Pendiente,system,,,,2025-09-05,2025-09-05T14:24:24.796425,8036800.0,BUCARAMANGA,1526992.0,20024,FIBERGLASS COLOMBIA S.A.,1,515361,75159,P-860009008,1145,9563792.0,,,,2025-09-05 15:39:11
Orden de Compra,0,CR 17 AUT PALENQUE CHIMITA # 58-60 CENTRO LOGISTICO METROPOLITANO BOD 8 GIRON,98,2,Pendiente,system,,,,2025-09-05,2025-09-05T13:23:56.302936,500248.0,BUCARAMANGA,95047.12,20023,CORLANC SAS,1,515279,75155,P-900481586,1145,595295.12,,,,2025-09-05 15:39:11
Orden de Compra,0,CR 17 AUT PALENQUE CHIMITA # 58-60 CENTRO LOGISTICO METROPOLITANO BOD 8 GIRON,98,4,Pendiente,system,,,,2025-09-05,2025-09-05T12:24:25.133369,257040.0,BUCARAMANGA,48837.6,20022,ETICOLOR SA,1,515252,75153,P-800250778,1145,305877.6,,,,2025-09-05 15:39:11
Orden de Compra,0,AUT MEDELLIN KM 1.5 COSTADO SUR PAR INDUSTRIAL LA FLORIDA BG 26,98,80,Pendiente,system,,,,2025-09-05,2025-09-05T10:26:20.943065,1460395.8,BOGOTA D.C.,277475.20200000005,20021,KL SECURITY S.A.S.,5,515067,75151,P-901079040,1290,1737871.0019999999,,,,2025-09-05 15:39:11
Orden de Compra,0,CR 17 AUT PALENQUE CHIMITA 58 60,98,224,Pendiente,system,,,,2025-09-04,2025-09-04T16:23:58.33722,313600.0,BUCARAMANGA,59584.0,20015,KL SECURITY S.A.S.,1,514489,75149,P-901079040,1145,373184.0,,,,2025-09-05 15:39:11
Orden de Compra,0,CR 17 AUT PALENQUE CHIMITA 58 60,98,224,Pendiente,system,,,,2025-09-04,2025-09-04T16:23:58.090123,1831839.62,BUCARAMANGA,348049.52780000004,20014,KL SECURITY S.A.S.,2,514488,75148,P-901079040,1145,2179889.1478,,,,2025-09-05 15:39:11
Orden de Compra,0,CR 17 AUT PALENQUE CHIMITA # 58-60 CENTRO LOGISTICO METROPOLITANO BOD 8 GIRON,98,85,Pendiente,system,,,,2025-09-04,2025-09-04T16:23:57.863153,22310142.74,BUCARAMANGA,4238927.1206,20013,COLCERAMICA S.A.S,4,514487,75146,P-860002536,1145,26549069.8606,,,,2025-09-05 15:39:11
