ctxn_balance,ctxn_attribute1,ctxn_primary_uom_code,ctxn_attribute2,ctxn_document_number,cdct_name,codv_invoice,ctxn_organization_id,ctxn_transaction_reference,ctxn_expiration_date,ctxn_secondary_qty,ctxn_secondary_uom_code,ctxn_movement_type,ctxn_transaction_date,ctxn_warehouse_code,ctxn_task_id,ctxn_item_code1,ctxn_item_code2,ctxn_onset_date,ctxn_currency_code,ctxn_primary_qty,ctxn_handling_unit,ctxn_storagebin_code,ctxn_stock_type_code,ctxn_created_on,ctxn_id,ctxn_document_reference,ctxn_created_by,ctxn_item_name1,ctxn_current_cost,ctxn_transaction_group_id,ctxn_batch_number,metadata_fecha_consulta
40.0,,Und,,,,,98,,2026-08-30,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10001916,,,$,40.0,191120,F10M3A20IZQ,01,21:49:16,2089876,,cmendez,PEGACOR CERAMICO GRIS 25 KG 901391501,941.0,1762983,,2025-09-06 23:28:50
0.0,,Und,,,,,98,,2026-08-30,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10001916,,,$,-40.0,191120,F11M3A70DER,01,21:49:16,2089875,,cmendez,PEGACOR CERAMICO GRIS 25 KG 901391501,941.0,1762983,,2025-09-06 23:28:50
90.0,,Und,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10022483,,,$,90.0,163284,F22M6A40IZQ,01,21:48:42,2089874,,eduarte,BRAZO NEUMATICO SPAR CIERRE LENTO 80N,5480.99,1762982,,2025-09-06 23:28:50
0.0,,Und,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10022483,,,$,-90.0,195287,MUELLE 5,01,21:48:42,2089873,,eduarte,BRAZO NEUMATICO SPAR CIERRE LENTO 80N,5480.99,1762982,,2025-09-06 23:28:50
300.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10011554,,,$,300.0,192257,F28M2A40IZQ,01,21:48:27,2089872,,cmendez,TUBO SANITARIA NOVATEC 3 X6M REF 2900326,7307.24,1762981,,2025-09-06 23:28:50
0.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10011554,,,$,-300.0,195113,MUELLE 1,01,21:48:27,2089871,,cmendez,TUBO SANITARIA NOVATEC 3 X6M REF 2900326,7307.24,1762981,,2025-09-06 23:28:50
144.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10011384,,,COP,144.0,193113,F28M4A10DER,01,21:46:30,2089870,,cmendez,TUBO PRESION RDE 13.5 315 DE 1'' X6M REF 2900213,2750.07,1762980,,2025-09-06 23:28:50
0.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10011384,,,COP,-144.0,195113,MUELLE 1,01,21:46:30,2089869,,cmendez,TUBO PRESION RDE 13.5 315 DE 1'' X6M REF 2900213,2750.07,1762980,,2025-09-06 23:28:50
150.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10011384,,,COP,150.0,193113,F28M4A10DER,01,21:46:05,2089868,,cmendez,TUBO PRESION RDE 13.5 315 DE 1' X6M REF 2900213,1.0,1762979,,2025-09-06 23:28:50
0.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10011384,,,COP,-150.0,193325,F28M4A10IZQ,01,21:46:05,2089867,,cmendez,TUBO PRESION RDE 13.5 315 DE 1' X6M REF 2900213,1.0,1762979,,2025-09-06 23:28:50
186.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10011384,,,COP,186.0,193113,F28M4A10DER,01,21:46:05,2089866,,cmendez,TUBO PRESION RDE 13.5 315 DE 1'' X6M REF 2900213,2750.07,1762978,,2025-09-06 23:28:50
0.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10011384,,,COP,-186.0,193325,F28M4A10IZQ,01,21:46:05,2089865,,cmendez,TUBO PRESION RDE 13.5 315 DE 1'' X6M REF 2900213,2750.07,1762978,,2025-09-06 23:28:50
522.0,,m,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10011388,7707153737892,,COP,522.0,191269,F28M4A20IZQ,01,21:42:22,2089864,,cmendez,TUBO PRESION RDE 21 DE 2'' X6M REF 2902453,6849.91,1762977,,2025-09-06 23:28:50
0.0,,m,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10011388,7707153737892,,COP,-522.0,195113,MUELLE 1,01,21:42:22,2089863,,cmendez,TUBO PRESION RDE 21 DE 2'' X6M REF 2902453,6849.91,1762977,,2025-09-06 23:28:50
78.0,,m,,,,,98,,,,,309 Traslado de material - cambio de informacion logistica,2025-09-05,1145,,10011388,7707153737892,,COP,78.0,191269,F28M4A20IZQ,01,21:41:45,2089862,,cmendez,TUBO PRESION RDE 21 DE 2'' X6M REF 2902453,6849.91,1762976,,2025-09-06 23:28:50
0.0,,m,,,,,98,,,,,309 Traslado de material - cambio de informacion logistica,2025-09-05,1145,,10011388,7707153737892,,COP,-78.0,191278,F28M4A20IZQ,01,21:41:45,2089861,,cmendez,TUBO PRESION RDE 21 DE 2'' X6M REF 2902453,6849.91,1762976,,2025-09-06 23:28:50
8.0,,Und,,515405,Entrada por solicitud de traslado,,98,,,,,101 Entrada de mercancías de pedido a almacén,2025-09-05,1145,231069.0,10024141,,,$,8.0,195286,MUELLE 5,12,21:41:22,2089860,144176,eduarte,CUBIERTERO SLIM DE 7 ESPACIOS COLOR GRIS 550X480X50MM,32265.38,1762975,,2025-09-06 23:28:50
20.0,,Und,,515404,Entrada por solicitud de traslado,,98,,,,,101 Entrada de mercancías de pedido a almacén,2025-09-05,1145,231068.0,10022480,,,$,20.0,195286,MUELLE 5,12,21:40:15,2089859,144137,eduarte,BRAZO SPAR PLEGABLE ECO CIERRE LENTO 700mm-850mm ALTURA,167349.4,1762974,,2025-09-06 23:28:50
35.0,,Und,,515404,Entrada por solicitud de traslado,,98,,,,,101 Entrada de mercancías de pedido a almacén,2025-09-05,1145,231068.0,10009757,,,$,35.0,195286,MUELLE 5,12,21:39:57,2089858,144137,eduarte,AMORTIGUADOR POLIURETANO CRISTAL 8.5MMx2.2MMx (PAQUETE X24 UND),2831.06,1762973,,2025-09-06 23:28:50
5.0,,Und,,515404,Entrada por solicitud de traslado,,98,,,,,101 Entrada de mercancías de pedido a almacén,2025-09-05,1145,231068.0,10009433,,,$,5.0,195286,MUELLE 5,12,21:39:26,2089857,144137,eduarte,VAJILLERO SPAR EN ACERO INOXIDABLE MOD 90CM SPAR-V90,64213.89,1762972,,2025-09-06 23:28:50
1008.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10011380,,,COP,1008.0,192908,F28M1A10IZQ,01,21:38:48,2089856,,cmendez,TUBO PRESION RDE 9 DE 1/2'' X6M REF 2900266,1530.78,1762971,,2025-09-06 23:28:50
0.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10011380,,,COP,-1008.0,195113,MUELLE 1,01,21:38:48,2089855,,cmendez,TUBO PRESION RDE 9 DE 1/2'' X6M REF 2900266,1530.78,1762971,,2025-09-06 23:28:50
128.0,,Und,,515404,Entrada por solicitud de traslado,,98,,,,,101 Entrada de mercancías de pedido a almacén,2025-09-05,1145,231068.0,10003947,,,$,2.0,195286,MUELLE 5,12,21:38:45,2089854,144137,eduarte,ESCUADRA PARA MUEBLES 19 X 41 MM ES-100,740.94,1762970,,2025-09-06 23:28:50
126.0,,Und,,515404,Entrada por solicitud de traslado,,98,,,,,101 Entrada de mercancías de pedido a almacén,2025-09-05,1145,231068.0,10003947,,,$,126.0,195286,MUELLE 5,12,21:38:15,2089853,144137,eduarte,ESCUADRA PARA MUEBLES 19 X 41 MM ES-100,740.94,1762969,,2025-09-06 23:28:50
700.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10031787,,,$,700.0,160279,F21M6A30IZQ,12,21:37:17,2089852,,hpinzon,CANTO RIGIDO CHANTILLI DURATEX 22X1.7 MM 100mxRollo,1546.8,1762968,,2025-09-06 23:28:50
0.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10031787,,,$,-700.0,195135,MUELLE 4,12,21:37:17,2089851,,hpinzon,CANTO RIGIDO CHANTILLI DURATEX 22X1.7 MM 100mxRollo,1546.8,1762968,,2025-09-06 23:28:50
564.0,,Und,,515404,Entrada por solicitud de traslado,,98,,,,,101 Entrada de mercancías de pedido a almacén,2025-09-05,1145,231068.0,10022487,,,$,564.0,195286,MUELLE 5,12,21:37:15,2089850,144137,eduarte,SOPORTE DE ENTREPAÑO TRANSPARENTE,89.57,1762967,,2025-09-06 23:28:50
54.0,,m,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10011391,,,COP,54.0,192292,F28M3A30IZQ,01,21:37:11,2089849,,cmendez,TUBO PRESION RDE 21 DE 4'' X6M REF 2900240,26225.09,1762966,,2025-09-06 23:28:50
0.0,,m,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10011391,,,COP,-54.0,195113,MUELLE 1,01,21:37:11,2089848,,cmendez,TUBO PRESION RDE 21 DE 4'' X6M REF 2900240,26225.09,1762966,,2025-09-06 23:28:50
38.0,,Und,,515404,Entrada por solicitud de traslado,,98,,,,,101 Entrada de mercancías de pedido a almacén,2025-09-05,1145,231068.0,10022482,,,$,38.0,195286,MUELLE 5,12,21:36:00,2089847,144137,eduarte,BRAZO NEUMATICO SPAR CIERRE LENTO 60N,5638.85,1762965,,2025-09-06 23:28:50
6.0,,m,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10011389,,,COP,6.0,192260,F28M2A10IZQ,01,21:35:15,2089846,,cmendez,TUBO PRESION RDE 21 DE 2.1/2'' X6M REF 2900230,13119.98,1762964,,2025-09-06 23:28:50
0.0,,m,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10011389,,,COP,-6.0,195113,MUELLE 1,01,21:35:15,2089845,,cmendez,TUBO PRESION RDE 21 DE 2.1/2'' X6M REF 2900230,13119.98,1762964,,2025-09-06 23:28:50
4.0,,Und,,515404,Entrada por solicitud de traslado,,98,,,,,101 Entrada de mercancías de pedido a almacén,2025-09-05,1145,231068.0,10009432,,,$,4.0,195286,MUELLE 5,12,21:34:48,2089844,144137,eduarte,VAJILLERO SPAR EN ACERO INOXIDABLE MOD 80CM SPAR-V80,58038.08,1762963,,2025-09-06 23:28:50
